----- B-2430210749VSW-s110321501 -----
B 3 2
W 2 2
B 2 3
W 2 4
B 2 5
W 5 3
B 2 1
W 1 4
B 5 4
W 4 2
B 0 4
W 3 5
B 4 6
W 1 3
B 5 2
W 4 5
B 0 2
W 3 6
B 3 7
W 4 1
B 3 1
W 2 0
B 4 0
W 0 3
B 5 5
W 1 5
B 1 0
W 0 0
B 2 6
W 0 5
B 1 1
W 0 1
B 1 2
W 3 0
B P
W 5 0
B 5 1
W 6 3
B 6 4
W 6 2
B 6 1
W 2 7
B 1 6
W 6 0
B 1 7
W 7 5
B 6 5
W 7 4
B 7 3
W 7 0
B 7 1
W 7 2
B P
W 7 6
B 6 6
W 7 7
B 6 7
W 5 7
B 5 6
W 4 7
B P
W 0 6
B 0 7
----- B-s110321501VSW-2430210749 -----
B 3 2
W 4 2
B 5 3
W 6 4
B 5 2
W 2 4
B 6 3
W 3 1
B 5 4
W 6 5
B 4 5
W 5 6
B 2 2
W 2 1
B 2 3
W 5 1
B 4 1
W 6 2
B 5 5
W 3 5
B 2 5
W 2 6
B 5 0
W 4 6
B 3 6
W 2 7
B 3 0
W 6 1
B 4 7
W 5 7
B 6 7
W 6 6
B 7 7
W 7 6
B 3 7
W P
B 7 5
W 7 4
B 1 7
W 1 6
B 0 7
W 1 5
B 7 0
W 6 0
B 0 6
W 1 4
B 0 5
W 0 3
B 7 3
W 4 0
B 7 1
W 7 2
B 2 0
W 1 0
B 0 4
W 1 3
B 0 2
W P
B 1 2
W 1 1
B 0 0
W 0 1
