----- B-s106321068#斷線VSW-s109321523 -----
----- B-s109321523VSW-s106321068 -----
B 2 3
W 4 2
B 5 2
W 6 2
B 4 5
W 2 4
B 3 2
W 5 4
B 3 5
W 2 1
B 1 4
W 4 6
B 5 1
W 4 1
B 5 3
W 3 6
B 1 0
W 3 1
B 5 5
W 1 1
B 1 2
W 6 1
B 2 2
W 0 4
B 4 0
W 0 3
----- B-s106321068VSW-s109321523 -----
B 3 2
W 2 2
B 4 5
W 3 5
B 2 6
W 5 3
B 6 2
W 2 1
B 2 3
W 5 4
B 6 3
W 3 6
B 2 4
W 1 4
B 1 1
W 2 5
B 4 2
W 7 1
B 1 6
W 4 1
B 3 7
W 5 6
B 1 5
W 5 5
B 5 1
W 6 1
B 4 0
W 0 5
B 7 3
W 1 3
B 0 6
W 2 7
B 1 2
W 1 0
B 0 4
W 6 4
B 0 2
W 5 2
B 2 0
W 3 1
B 6 7
W 3 0
B 4 6
W 6 6
B 4 7
